年度,鄉鎮,段名,地號,公告土地現值
112,2,18,2590000,4300
112,2,18,2590001,4300
112,2,18,2600000,4300
112,2,18,2600001,4300
112,2,18,2610000,4300
112,2,18,2610001,4300
112,2,18,2620000,4300
112,2,18,2620001,4300
112,2,18,2630000,4300
112,2,18,2630001,4300
112,2,18,2630002,4300
112,2,18,2630003,4300
112,2,18,2640000,4300
112,2,18,2640001,4300
112,2,18,2650000,4300
112,2,18,2650001,4300
112,2,18,2660000,4300
112,2,18,2660001,4300
112,2,18,2670000,4300
112,2,18,2670001,4300
112,2,18,2670002,4300
112,2,18,2670003,4300
112,2,18,2680000,4300
112,2,18,2680001,4300
112,2,18,2690000,4300
112,2,18,2690001,4300
112,2,18,2690002,4300
112,2,18,2690003,4300
112,2,18,2700000,4300
112,2,18,2700001,4300
112,2,18,2700002,4300
112,2,18,2700003,4300
112,2,18,2710000,4300
112,2,18,2710001,4300
112,2,18,2710002,4300
112,2,18,2710003,4300
112,2,18,2720000,4300
112,2,18,2720001,4300
112,2,18,2730000,4300
112,2,18,2730001,4300
112,2,18,2730002,4300
112,2,18,2730003,4300
112,2,18,2740000,4300
112,2,18,2740001,4300
112,2,18,2750000,4300
112,2,18,2750001,4300
112,2,18,2750002,4300
112,2,18,2750003,4300
112,2,18,2760000,4600
112,2,18,2760001,4343
112,2,18,2760002,4499
112,2,18,2770000,4600
112,2,18,2770001,3950
112,2,18,2780000,4300
112,2,18,2790000,4300
112,2,18,2800000,4300
112,2,18,2810000,4300
112,2,18,2820000,4300
112,2,18,2830000,4300
112,2,18,2840000,4300
112,2,18,2850000,4300
112,2,18,2860000,4300
112,2,18,2870000,4300
112,2,18,2880000,4300
112,2,18,2890000,4300
112,2,18,2900000,4300
112,2,18,2910000,4300
112,2,18,2910001,4300
112,2,18,2920000,4300
112,2,18,2920001,4300
112,2,18,2920002,4300
112,2,18,2930000,4300
112,2,18,2940000,4300
112,2,18,2950000,4300
112,2,18,2960000,4300
112,2,18,2970000,4300
112,2,18,2980000,4300
112,2,18,2990000,4300
